dataset,k_name,rank_target,mechanism,item_idx,review_col,k,L,tick,l11_delta,utility_before,utility_after,utility_delta_abs,l1_prob_change,local_smoothness,softmax_search_samples,softmax_search_reps,softmax_final_samples,softmax_final_reps
Beta,k50pct,k+1,linear,47,0,100,1.0,0.1111111111111111,0.11111111111111116,0.4764551675276339,0.49867738974985604,0.022222222222222143,0.11006357204067971,0.990572148366117,0,0,0,0
Beta,k50pct,k+1,softmax,47,0,100,1.0,0.1111111111111111,0.11111111111111116,0.4764551675276339,0.49867738974985604,0.022222222222222143,0.09966666666666456,0.8969999999999806,800,2,10000,3
NeurIPS,k10pct,k,linear,2034,0,403,0.2,0.1111111111111111,0.11111111111111105,0.6388888888888888,0.6111111111111112,0.02777777777777768,0.016662535118210524,0.1499628160638948,0,0,0,0
NeurIPS,k10pct,k,softmax,2034,0,403,0.2,0.1111111111111111,0.11111111111111105,0.6388888888888888,0.6666666666666665,0.02777777777777768,0.00393333333333334,0.03540000000000008,800,2,10000,3
NeurIPS,k10pct,k+1,linear,290,0,403,0.2,0.1111111111111111,0.11111111111111116,0.6388888888888888,0.611111111111111,0.02777777777777779,0.01666253511826064,0.1499628160643457,0,0,0,0
NeurIPS,k10pct,k+1,softmax,290,0,403,0.2,0.1111111111111111,0.11111111111111116,0.6388888888888888,0.611111111111111,0.02777777777777779,0.003733333333333297,0.03359999999999966,800,2,10000,3
NeurIPS,k10pct,k,linear,2034,0,403,0.4,0.1111111111111111,0.11111111111111105,0.6388888888888888,0.6111111111111112,0.02777777777777768,0.033325039396230396,0.2999253545660737,0,0,0,0
NeurIPS,k10pct,k,softmax,2034,0,403,0.4,0.1111111111111111,0.11111111111111105,0.6388888888888888,0.6111111111111112,0.02777777777777768,0.009799999999999956,0.08819999999999965,800,2,10000,3
NeurIPS,k10pct,k+1,linear,290,0,403,0.4,0.1111111111111111,0.11111111111111116,0.6388888888888888,0.611111111111111,0.02777777777777779,0.03332503939623045,0.29992535456607394,0,0,0,0
NeurIPS,k10pct,k+1,softmax,290,0,403,0.4,0.1111111111111111,0.11111111111111116,0.6388888888888888,0.611111111111111,0.02777777777777779,0.008933333333333343,0.08040000000000005,800,2,10000,3
NeurIPS,k10pct,k,linear,2034,0,403,0.6,0.1111111111111111,0.11111111111111105,0.6388888888888888,0.6111111111111112,0.02777777777777768,0.04998717290916147,0.4498845561824535,0,0,0,0
NeurIPS,k10pct,k,softmax,2034,0,403,0.6,0.1111111111111111,0.11111111111111105,0.6388888888888888,0.6666666666666665,0.02777777777777768,0.015333333333333332,0.13800000000000007,800,2,10000,3
NeurIPS,k10pct,k+1,linear,290,0,403,0.6,0.1111111111111111,0.11111111111111116,0.6388888888888888,0.611111111111111,0.02777777777777779,0.049987172909275915,0.44988455618348305,0,0,0,0
NeurIPS,k10pct,k+1,softmax,290,0,403,0.6,0.1111111111111111,0.11111111111111116,0.6388888888888888,0.611111111111111,0.02777777777777779,0.016066666666666552,0.1445999999999989,800,2,10000,3
NeurIPS,k10pct,k,linear,2034,0,403,0.8,0.1111111111111111,0.11111111111111105,0.6388888888888888,0.6666666666666665,0.02777777777777768,0.06664854087368385,0.599836867863155,0,0,0,0
