k_name,alpha,beta,trial,n,r,k,L_multiplier,L,regret_linear,regret_softmax,regret_linear_per_k,regret_softmax_per_k
k10pct,1,1,19,200,5,20,1.0,0.2,3.5110884834607727,7.38132656738704,0.17555442417303863,0.369066328369352
k10pct,1,1,19,200,5,20,2.0,0.4,2.071765539725636,5.42824021185322,0.10358827698628179,0.271412010592661
k10pct,2,2,0,200,5,20,1.0,0.2,3.4012574099206496,6.105587296650183,0.17006287049603247,0.30527936483250917
k10pct,2,2,0,200,5,20,2.0,0.4,2.233908998849971,4.9481440490808986,0.11169544994249855,0.24740720245404493
k10pct,2,2,1,200,5,20,1.0,0.2,3.2690094683369875,5.878333609104416,0.16345047341684937,0.2939166804552208
k10pct,2,2,1,200,5,20,2.0,0.4,2.012118831455508,4.753342118631991,0.1006059415727754,0.23766710593159956
k10pct,2,2,2,200,5,20,1.0,0.2,3.3576435664387247,5.688459135906083,0.16788217832193625,0.28442295679530416
k10pct,2,2,2,200,5,20,2.0,0.4,2.205506353280443,4.719520230190394,0.11027531766402214,0.2359760115095197
k10pct,2,2,3,200,5,20,1.0,0.2,3.015048760107099,5.582153775890744,0.15075243800535496,0.2791076887945372
k10pct,2,2,3,200,5,20,2.0,0.4,1.94120994456323,4.484711729782159,0.0970604972281615,0.22423558648910796
k10pct,2,2,4,200,5,20,1.0,0.2,3.4250253941628728,5.787550537469279,0.17125126970814364,0.28937752687346396
k10pct,2,2,4,200,5,20,2.0,0.4,2.274478191419158,4.796900527953889,0.1137239095709579,0.23984502639769448
k10pct,2,2,5,200,5,20,1.0,0.2,3.5310879597532843,6.20682934854036,0.1765543979876642,0.310341467427018
k10pct,2,2,5,200,5,20,2.0,0.4,2.384697842478948,5.024241376843575,0.1192348921239474,0.2512120688421787
k10pct,2,2,6,200,5,20,1.0,0.2,3.5142805882030874,6.393482394311569,0.17571402941015438,0.31967411971557846
k10pct,2,2,6,200,5,20,2.0,0.4,2.1788585759496417,5.099743966027866,0.10894292879748209,0.25498719830139327
k10pct,2,2,7,200,5,20,1.0,0.2,3.640882166927975,6.353822029791827,0.18204410834639875,0.31769110148959134
k10pct,2,2,7,200,5,20,2.0,0.4,2.255294937523278,5.138527373774897,0.11276474687616389,0.25692636868874486
k10pct,2,2,8,200,5,20,1.0,0.2,3.428495504566053,6.290602336629767,0.17142477522830263,0.31453011683148835
k10pct,2,2,8,200,5,20,2.0,0.4,2.232105426329694,5.039115528180531,0.1116052713164847,0.25195577640902656
k10pct,2,2,9,200,5,20,1.0,0.2,3.2000225913969302,5.804610572483295,0.16000112956984652,0.29023052862416476
k10pct,2,2,9,200,5,20,2.0,0.4,1.994996568525469,4.720648703651802,0.09974982842627345,0.23603243518259012
k10pct,2,2,10,200,5,20,1.0,0.2,3.292530523649596,6.011322693108617,0.1646265261824798,0.30056613465543086
k10pct,2,2,10,200,5,20,2.0,0.4,2.054647737037744,4.862965697216572,0.1027323868518872,0.24314828486082857
k10pct,2,2,11,200,5,20,1.0,0.2,3.564389679366661,6.364678734572337,0.17821948396833304,0.31823393672861683
k10pct,2,2,11,200,5,20,2.0,0.4,2.2023500411156114,5.151645339328725,0.11011750205578057,0.25758226696643627
k10pct,2,2,12,200,5,20,1.0,0.2,3.4872348667909243,6.0152437659822535,0.1743617433395462,0.30076218829911266
k10pct,2,2,12,200,5,20,2.0,0.4,2.172165870440409,4.929809061250728,0.10860829352202046,0.2464904530625364
k10pct,2,2,13,200,5,20,1.0,0.2,2.951247560369417,5.715912420841057,0.14756237801847086,0.28579562104205286
k10pct,2,2,13,200,5,20,2.0,0.4,1.933933688078934,4.51164842747227,0.0966966844039467,0.2255824213736135
k10pct,2,2,14,200,5,20,1.0,0.2,3.425424646915591,6.1712108899470675,0.17127123234577954,0.3085605444973534
k10pct,2,2,14,200,5,20,2.0,0.4,2.154343281644522,4.977173905693279,0.10771716408222609,0.24885869528466395
k10pct,2,2,15,200,5,20,1.0,0.2,3.268680491267549,5.8753430131177,0.16343402456337747,0.293767150655885
k10pct,2,2,15,200,5,20,2.0,0.4,2.0016833109696606,4.7661141320957885,0.10008416554848303,0.23830570660478942
k10pct,2,2,16,200,5,20,1.0,0.2,3.3617740053509255,5.723279414495147,0.16808870026754627,0.28616397072475735
k10pct,2,2,16,200,5,20,2.0,0.4,2.153877483906081,4.745452723038596,0.10769387419530405,0.2372726361519298
